benchmark,topology,k,R,N,task_id,score,gpu_dynamic_kJ,utilization,answered,source_file,decent_convention
SWE_bench,centralized,10,2,4,matplotlib__matplotlib-18869,0.0,83.005199,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,django__django-11620,0.0,62.015579,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,sympy__sympy-11897,0.0,63.964968,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,django__django-11848,1.0,117.522388,0.9375,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,sympy__sympy-24066,0.0,156.891259,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,django__django-15996,0.0,55.443112,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,sphinx-doc__sphinx-8713,1.0,67.694745,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,scikit-learn__scikit-learn-25638,0.0,90.670861,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,sympy__sympy-24152,1.0,102.270185,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,sympy__sympy-22840,0.0,110.530567,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,django__django-12589,0.0,55.155617,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,pydata__xarray-4248,0.0,48.414944,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,pytest-dev__pytest-5495,0.0,63.361258,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,sympy__sympy-14317,0.0,50.954496,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,astropy__astropy-14182,0.0,68.869265,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,sympy__sympy-11870,0.0,77.147043,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,sympy__sympy-15345,0.0,103.982272,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,mwaskom__seaborn-3010,1.0,119.382174,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,matplotlib__matplotlib-24334,0.0,48.656064,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,sympy__sympy-14396,0.0,62.13915,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,scikit-learn__scikit-learn-25747,0.0,71.714248,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,django__django-15202,0.0,84.470921,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,astropy__astropy-7746,0.0,75.946828,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,sympy__sympy-21171,0.0,77.88318,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,matplotlib__matplotlib-23299,0.0,51.139178,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,scikit-learn__scikit-learn-13142,0.0,81.798082,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,django__django-12308,0.0,46.705563,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,sympy__sympy-13031,0.0,57.539411,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,pytest-dev__pytest-8365,0.0,59.174574,0.8875,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,sympy__sympy-15346,0.0,102.663574,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,django__django-16229,0.0,55.849033,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,django__django-16820,0.0,44.947128,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,django__django-13158,0.0,92.834121,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,sympy__sympy-15609,0.0,49.868515,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,sympy__sympy-13971,1.0,76.915339,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,sympy__sympy-20154,1.0,109.237349,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,django__django-14534,0.0,75.893296,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,sympy__sympy-18532,0.0,46.768358,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,django__django-15819,0.0,70.50211,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,sympy__sympy-17139,0.0,71.180896,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,pydata__xarray-4493,0.0,53.933478,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,sphinx-doc__sphinx-10451,0.0,51.886145,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,django__django-13447,0.0,88.685226,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,5,django__django-16139,1.0,58.937933,0.93,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,sympy__sympy-13773,0.0,70.781236,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,django__django-12497,0.0,79.018236,0.98,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,django__django-15320,0.0,99.334467,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,django__django-12284,0.0,65.488001,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,sympy__sympy-15308,0.0,53.855167,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,scikit-learn__scikit-learn-13439,0.0,87.373315,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,matplotlib__matplotlib-18869,0.0,73.953654,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,django__django-11620,0.0,67.361037,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,sympy__sympy-11897,0.0,63.765757,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,django__django-11848,0.0,210.173279,0.98,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,sympy__sympy-24066,0.0,114.08433,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,django__django-15996,0.0,81.797139,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,sphinx-doc__sphinx-8713,1.0,65.72273,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,scikit-learn__scikit-learn-25638,0.0,88.406022,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,sympy__sympy-24152,1.0,135.00855,0.93,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,sympy__sympy-22840,0.0,134.772836,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,django__django-12589,0.0,61.762212,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,pydata__xarray-4248,0.0,63.874489,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,pytest-dev__pytest-5495,0.0,63.255867,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,sympy__sympy-14317,0.0,60.893778,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,astropy__astropy-14182,0.0,103.894668,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,sympy__sympy-11870,0.0,103.101635,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,sympy__sympy-15345,0.0,63.059742,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,mwaskom__seaborn-3010,0.0,122.548026,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,matplotlib__matplotlib-24334,0.0,75.990736,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,sympy__sympy-14396,0.0,82.797831,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,scikit-learn__scikit-learn-25747,0.0,65.36043,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,django__django-15202,0.0,98.487165,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,astropy__astropy-7746,0.0,116.753813,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,sympy__sympy-21171,0.0,103.04256,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,matplotlib__matplotlib-23299,0.0,63.831588,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,scikit-learn__scikit-learn-13142,1.0,105.715468,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,django__django-12308,0.0,74.545973,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,sympy__sympy-13031,0.0,82.623321,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,pytest-dev__pytest-8365,0.0,76.370632,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,sympy__sympy-15346,0.0,108.894935,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,django__django-16229,0.0,97.457719,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,django__django-16820,0.0,51.83937,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,django__django-13158,0.0,52.999257,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,sympy__sympy-15609,0.0,79.967152,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,sympy__sympy-13971,1.0,80.569366,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,sympy__sympy-20154,1.0,204.915229,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,django__django-14534,0.0,87.271615,0.97,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,sympy__sympy-18532,0.0,60.795719,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,django__django-15819,0.0,65.942633,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,sympy__sympy-17139,1.0,73.848851,0.95,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
SWE_bench,centralized,10,2,5,pydata__xarray-4493,0.0,60.285518,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,
